Code,Description,Link
0x0000007F,UNEXPECTED\_KERNEL\_MODE\_TRAP,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x7f--unexpected-kernel-mode-trap
0x00000080,NMI\_HARDWARE\_FAILURE,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x80--nmi-hardware-failure
0x00000081,SPIN\_LOCK\_INIT\_FAILURE,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x81--spin-lock-init-failure
0x00000082,DFS\_FILE\_SYSTEM,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x82--dfs-file-system
0x00000085,SETUP\_FAILURE,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x85--setup-failure
0x0000008B,MBR\_CHECKSUM\_MISMATCH,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x8b--mbr-checksum-mismatch
0x0000008E,KERNEL\_MODE\_EXCEPTION\_NOT\_HANDLED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x8e--kernel-mode-exception-not-handled
0x0000008F,PP0\_INITIALIZATION\_FAILED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x8f--pp0-initialization-failed
0x00000090,PP1\_INITIALIZATION\_FAILED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x90--pp1-initialization-failed
0x00000092,UP\_DRIVER\_ON\_MP\_SYSTEM,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x92--up-driver-on-mp-system
0x00000093,INVALID\_KERNEL\_HANDLE,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x93--invalid-kernel-handle
0x00000094,KERNEL\_STACK\_LOCKED\_AT\_EXIT,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x94--kernel-stack-locked-at-exit
0x00000096,INVALID\_WORK\_QUEUE\_ITEM,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x96--invalid-work-queue-item
0x00000097,BOUND\_IMAGE\_UNSUPPORTED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x97--bound-image-unsupported
0x00000098,END\_OF\_NT\_EVALUATION\_PERIOD,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x98--end-of-nt-evaluation-period
0x00000099,INVALID\_REGION\_OR\_SEGMENT,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x99--invalid-region-or-segment
0x0000009A,SYSTEM\_LICENSE\_VIOLATION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x9a--system-license-violation
0x0000009B,UDFS\_FILE\_SYSTEM,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x9b--udfs-file-system
0x0000009C,MACHINE\_CHECK\_EXCEPTION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x9c--machine-check-exception
0x0000009E,USER\_MODE\_HEALTH\_MONITOR,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x9e--user-mode-health-monitor
0x0000009F,DRIVER\_POWER\_STATE\_FAILURE,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0x9f--driver-power-state-failure
0x000000A0,INTERNAL\_POWER\_ERROR,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xa0--internal-power-error
0x000000A1,PCI\_BUS\_DRIVER\_INTERNAL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xa1--pci-bus-driver-internal
0x000000A2,MEMORY\_IMAGE\_CORRUPT,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xa2--memory-image-corrupt
0x000000A3,ACPI\_DRIVER\_INTERNAL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xa3--acpi-driver-internal
0x000000A4,CNSS\_FILE\_SYSTEM\_FILTER,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xa4--cnss-file-system-filter
0x000000A5,ACPI\_BIOS\_ERROR,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xa5--acpi-bios-error
0x000000A7,BAD\_EXHANDLE,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xa7--bad-exhandle
0x000000AC,HAL\_MEMORY\_ALLOCATION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xac--hal-memory-allocation
